YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Total,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2021,2021,MI,Michigan,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,31.4,31.4,NA,NA,25.8,37.6,329,NA,NA,Less than high school,NA,NA,NA,"(44.6613195430005, -84.71439026999968)",OWS,OWS1,Q037,VALUE,26,Education,Less than high school,EDU,EDUHS
2019,2019,MN,Minnesota,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,NA,Value,29.6,29.6,NA,NA,28.3,31,5809,NA,NA,College graduate,NA,NA,NA,"(46.35564873600049, -94.79420050299967)",PA,PA1,Q044,VALUE,27,Education,College graduate,EDU,EDUCOGRAD
2022,2022,MT,Montana,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,NA,NA,~,Data not available because sample size is insufficient.,NA,NA,NA,NA,NA,NA,NA,NA,Asian,"(47.06652897200047, -109.42442064499971)",OWS,OWS1,Q036,VALUE,30,Race/Ethnicity,Asian,RACE,RACEASN
2019,2019,GA,Georgia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,29.6,29.6,NA,NA,26.8,32.5,2274,NA,65 or older,NA,NA,NA,NA,"(32.83968109300048, -83.62758034599966)",OWS,OWS1,Q036,VALUE,13,Age (years),65 or older,AGEYR,AGEYR65PLUS
2022,2022,AK,Alaska,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,40.8,40.8,NA,NA,35.8,46,735,NA,NA,NA,NA,"$75,000 or greater",NA,"(64.84507995700051, -147.72205903599973)",OWS,OWS1,Q037,VALUE,02,Income,"$75,000 or greater",INC,INC75PLUS
2012,2012,IN,Indiana,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,25.9,25.9,NA,NA,24.7,27.1,8628,Total,NA,NA,NA,NA,NA,"(39.766910452, -86.149960194)",PA,PA1,Q047,VALUE,18,Total,Total,OVR,OVERALL
2014,2014,VT,Vermont,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,28.2,28.2,NA,NA,26.4,30.1,3280,NA,NA,NA,Female,NA,NA,"(43.625381239, -72.517640791)",OWS,OWS1,Q037,VALUE,50,Gender,Female,GEN,FEMALE
2020,2020,CA,California,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,51.9,51.9,NA,NA,42.8,60.9,225,NA,NA,NA,NA,NA,Non-Hispanic Black,"(37.63864012300047, -120.99999953799971)",OWS,OWS1,Q036,VALUE,06,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2018,2018,NV,Nevada,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,22.6,22.6,NA,NA,19.6,25.9,1515,NA,NA,NA,Male,NA,NA,"(39.493240390000494, -117.07184056399967)",PA,PA1,Q047,VALUE,32,Gender,Male,GEN,MALE
2021,2021,MD,Maryland,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,34.1,34.1,NA,NA,32.4,35.8,6370,NA,NA,NA,NA,Data not reported,NA,"(39.29058096400047, -76.60926011099963)",OWS,OWS1,Q037,VALUE,24,Income,Data not reported,INC,INCNR
2017,2017,WV,West Virginia,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,NA,Value,10.9,10.9,NA,NA,9.1,12.9,1246,NA,55 - 64,NA,NA,NA,NA,"(38.665510202, -80.712640135)",PA,PA1,Q044,VALUE,54,Age (years),55 - 64,AGEYR,AGEYR5564
2016,2016,OH,Ohio,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,11.9,11.9,NA,NA,10.6,13.3,3753,NA,NA,College graduate,NA,NA,NA,"(40.060210141, -82.404260056)",PA,PA1,Q047,VALUE,39,Education,College graduate,EDU,EDUCOGRAD
2019,2019,VT,Vermont,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,63.9,63.9,NA,NA,46.1,78.6,54,NA,NA,NA,NA,NA,Other,"(43.62538123900049, -72.51764079099962)",PA,PA1,Q043,VALUE,50,Race/Ethnicity,Other,RACE,RACEOTH
2021,2021,OR,Oregon,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,17.4,17.4,NA,NA,14.3,21.1,645,NA,NA,NA,NA,"$35,000 - $49,999",NA,"(44.56744942400047, -120.15503132599969)",PA,PA1,Q047,VALUE,41,Income,"$35,000 - $49,999",INC,INC3550
2015,2015,MD,Maryland,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,35.2,35.2,NA,NA,30.6,40.1,1139,NA,35 - 44,NA,NA,NA,NA,"(39.290580964, -76.609260111)",OWS,OWS1,Q037,VALUE,24,Age (years),35 - 44,AGEYR,AGEYR3544
2013,2013,AL,Alabama,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,NA,Value,14.7,14.7,NA,NA,12.1,17.7,949,NA,45 - 54,NA,NA,NA,NA,"(32.840571122, -86.631860762)",PA,PA1,Q044,VALUE,01,Age (years),45 - 54,AGEYR,AGEYR4554
2020,2020,ME,Maine,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,30.4,30.4,NA,NA,28.5,32.3,5098,NA,65 or older,NA,NA,NA,NA,"(45.254228894000505, -68.98503133599962)",PA,PA1,Q047,VALUE,23,Age (years),65 or older,AGEYR,AGEYR65PLUS
2020,2020,OK,Oklahoma,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,36.2,36.2,NA,NA,33.2,39.4,1435,NA,NA,College graduate,NA,NA,NA,"(35.47203135600046, -97.52107021399968)",OWS,OWS1,Q037,VALUE,40,Education,College graduate,EDU,EDUCOGRAD
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,29.6,29.6,NA,NA,27.2,32.1,2531,NA,NA,NA,Male,NA,NA,"(32.840571122, -86.631860762)",PA,PA1,Q047,VALUE,01,Gender,Male,GEN,MALE
2017,2017,AK,Alaska,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,NA,Value,16.7,16.7,NA,NA,12.9,21.4,838,NA,NA,Some college or technical school,NA,NA,NA,"(64.845079957001, -147.722059036)",FV,FV1,Q019,VALUE,02,Education,Some college or technical school,EDU,EDUCOTEC
2017,2017,NH,New Hampshire,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,NA,Value,NA,NA,~,Data not available because sample size is insufficient.,NA,NA,NA,NA,NA,NA,NA,NA,Hawaiian/Pacific Islander,"(43.655950113, -71.50036092)",FV,FV1,Q018,VALUE,33,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
2014,2014,TX,Texas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,35.2,35.2,NA,NA,31.7,39,2127,NA,NA,NA,NA,Data not reported,NA,"(31.827240407, -99.426770206)",OWS,OWS1,Q037,VALUE,48,Income,Data not reported,INC,INCNR
2017,2017,SC,South Carolina,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,30.9,30.9,NA,NA,26.5,35.7,928,NA,NA,NA,NA,"$25,000 - $34,999",NA,"(33.998821303, -81.045371207)",PA,PA1,Q045,VALUE,45,Income,"$25,000 - $34,999",INC,INC2535
2015,2015,GA,Georgia,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,NA,Value,14,14,NA,NA,10.4,18.7,644,NA,NA,NA,NA,"$15,000 - $24,999",NA,"(32.839681093, -83.627580346)",PA,PA1,Q044,VALUE,13,Income,"$15,000 - $24,999",INC,INC1525
2015,2015,GU,Guam,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,NA,Value,27.4,27.4,NA,NA,18.6,38.5,125,NA,NA,NA,NA,NA,Hispanic,"(13.444304, 144.793731)",PA,PA1,Q044,VALUE,66,Race/Ethnicity,Hispanic,RACE,RACEHIS
2019,2019,CO,Colorado,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,NA,Value,36.8,36.8,NA,NA,35.3,38.3,6195,NA,NA,NA,NA,NA,Non-Hispanic White,"(38.843840757000464, -106.13361092099967)",FV,FV1,Q018,VALUE,08,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2019,2019,TX,Texas,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,NA,Value,28.2,28.2,NA,NA,25.3,31.3,2909,NA,NA,NA,NA,"$75,000 or greater",NA,"(31.827240407000488, -99.42677020599967)",PA,PA1,Q044,VALUE,48,Income,"$75,000 or greater",INC,INC75PLUS
2013,2013,IN,Indiana,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,26.3,26.3,NA,NA,16,40.1,72,NA,NA,NA,NA,NA,American Indian/Alaska Native,"(39.766910452, -86.149960194)",PA,PA1,Q047,VALUE,18,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2021,2021,GU,Guam,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,28,28,NA,NA,19.6,38.2,249,NA,25 - 34,NA,NA,NA,NA,"(13.444304, 144.793731)",PA,PA1,Q047,VALUE,66,Age (years),25 - 34,AGEYR,AGEYR2534
2015,2015,NV,Nevada,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,NA,Value,45.1,45.1,NA,NA,34.9,55.7,149,NA,18 - 24,NA,NA,NA,NA,"(39.49324039, -117.071840564)",PA,PA1,Q046,VALUE,32,Age (years),18 - 24,AGEYR,AGEYR1824
2015,2015,DC,District of Columbia,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,33.8,33.8,NA,NA,29.7,38.1,1976,NA,NA,NA,Female,NA,NA,"(38.890371385, -77.031961127)",PA,PA1,Q045,VALUE,11,Gender,Female,GEN,FEMALE
2011,2011,TN,Tennessee,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,22,22,NA,NA,17.7,27,1381,NA,NA,College graduate,NA,NA,NA,"(35.68094058, -85.774490914)",OWS,OWS1,Q036,VALUE,47,Education,College graduate,EDU,EDUCOGRAD
2011,2011,MS,Mississippi,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,NA,NA,~,Data not available because sample size is insufficient.,NA,NA,NA,NA,NA,NA,NA,NA,Hawaiian/Pacific Islander,"(32.745510099, -89.538030825)",PA,PA1,Q043,VALUE,28,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
2017,2017,DC,District of Columbia,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,NA,Value,7.3,7.3,NA,NA,2.9,17,77,NA,NA,NA,NA,NA,Asian,"(38.890371385, -77.031961127)",FV,FV1,Q019,VALUE,11,Race/Ethnicity,Asian,RACE,RACEASN
2012,2012,WY,Wyoming,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,13.4,13.4,NA,NA,6.4,26.1,68,NA,NA,NA,NA,NA,2 or more races,"(43.235541343, -108.109830353)",PA,PA1,Q047,VALUE,56,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2022,2022,NV,Nevada,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,23.7,23.7,NA,NA,18.9,29.4,480,NA,45 - 54,NA,NA,NA,NA,"(39.493240390000494, -117.07184056399967)",PA,PA1,Q047,VALUE,32,Age (years),45 - 54,AGEYR,AGEYR4554
2011,2011,MD,Maryland,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,31.5,31.5,NA,NA,29.6,33.4,3950,NA,NA,College graduate,NA,NA,NA,"(39.290580964, -76.609260111)",PA,PA1,Q045,VALUE,24,Education,College graduate,EDU,EDUCOGRAD
2014,2014,FL,Florida,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,23.2,23.2,NA,NA,15.6,32.9,143,NA,NA,NA,NA,NA,2 or more races,"(28.932040377, -81.928960539)",OWS,OWS1,Q036,VALUE,12,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2019,2019,GU,Guam,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,NA,Value,24.9,24.9,NA,NA,18.3,33,196,NA,18 - 24,NA,NA,NA,NA,"(13.444304, 144.793731)",FV,FV1,Q019,VALUE,66,Age (years),18 - 24,AGEYR,AGEYR1824
2017,2017,NJ,New Jersey,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,NA,Value,21.9,21.9,NA,NA,20.4,23.4,10298,Total,NA,NA,NA,NA,NA,"(40.130570048, -74.273691288)",PA,PA1,Q044,VALUE,34,Total,Total,OVR,OVERALL
2012,2012,ID,Idaho,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,35.8,35.8,NA,NA,33.6,38,5578,Total,NA,NA,NA,NA,NA,"(43.682630005, -114.363730042)",OWS,OWS1,Q037,VALUE,16,Total,Total,OVR,OVERALL
2011,2011,OR,Oregon,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,20.8,20.8,NA,NA,18.5,23.4,2415,NA,NA,NA,Male,NA,NA,"(44.567449424, -120.155031326)",PA,PA1,Q047,VALUE,41,Gender,Male,GEN,MALE
2015,2015,GU,Guam,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,NA,Value,21.1,21.1,NA,NA,15.2,28.4,266,NA,55 - 64,NA,NA,NA,NA,"(13.444304, 144.793731)",PA,PA1,Q046,VALUE,66,Age (years),55 - 64,AGEYR,AGEYR5564
2022,2022,WI,Wisconsin,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,43,43,NA,NA,39.8,46.2,1461,NA,45 - 54,NA,NA,NA,NA,"(44.39319117400049, -89.81637074199966)",OWS,OWS1,Q036,VALUE,55,Age (years),45 - 54,AGEYR,AGEYR4554
2021,2021,MI,Michigan,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,20.8,20.8,NA,NA,14.3,29.2,184,NA,NA,NA,NA,NA,2 or more races,"(44.6613195430005, -84.71439026999968)",PA,PA1,Q047,VALUE,26,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2020,2020,LA,Louisiana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,40.4,40.4,NA,NA,34.6,46.5,462,NA,NA,NA,NA,"$35,000 - $49,999",NA,"(31.31266064400046, -92.44568007099969)",OWS,OWS1,Q036,VALUE,22,Income,"$35,000 - $49,999",INC,INC3550
2012,2012,IA,Iowa,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,29.6,29.6,NA,NA,25.8,33.8,778,NA,NA,NA,NA,"$25,000 - $34,999",NA,"(42.469400913, -93.816490556)",PA,PA1,Q047,VALUE,19,Income,"$25,000 - $34,999",INC,INC2535
2017,2017,NH,New Hampshire,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,35.2,35.2,NA,NA,33.2,37.2,4740,NA,NA,NA,NA,NA,Non-Hispanic White,"(43.655950113, -71.50036092)",PA,PA1,Q045,VALUE,33,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2013,2013,NC,North Carolina,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,47.1,47.1,NA,NA,42.4,51.8,798,NA,NA,NA,NA,"$25,000 - $34,999",NA,"(35.466220975, -79.159250463)",PA,PA1,Q043,VALUE,37,Income,"$25,000 - $34,999",INC,INC2535
2015,2015,CA,California,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,22.6,22.6,NA,NA,20.2,25.3,1670,NA,35 - 44,NA,NA,NA,NA,"(37.638640123, -120.999999538)",PA,PA1,Q047,VALUE,06,Age (years),35 - 44,AGEYR,AGEYR3544
2011,2011,SD,South Dakota,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,NA,Value,29.3,29.3,NA,NA,25.7,33.1,2353,NA,NA,Some college or technical school,NA,NA,NA,"(44.353130053, -100.373530637)",PA,PA1,Q046,VALUE,46,Education,Some college or technical school,EDU,EDUCOTEC
2021,2021,MI,Michigan,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,NA,Value,15.6,15.6,NA,NA,12.8,18.8,931,NA,35 - 44,NA,NA,NA,NA,"(44.6613195430005, -84.71439026999968)",FV,FV1,Q019,VALUE,26,Age (years),35 - 44,AGEYR,AGEYR3544
